id,event_key,tx_hash,wallet_address,token_mint,timestamp,date_str,side,amount_tokens,amount_sol,amount_usd,price_usd,is_airdrop,is_first_buyer,entry_delay_seconds,program_id,source_type,source_name,source_ref,fetched_at,raw_json
1,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9AhKqLR67hwapvG8SA2JFXaCshXc9nALJjpKaHZrsbkw,,9AhKqLR67hwapvG8SA2JFXaCshXc9nALJjpKaHZrsbkw,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1670531612,,BUY,100000000000000.0,0.0091276,0.0,0.0,0,1,0,,ONCHAIN,HELIUS_RPC,1,2026-08-20 04:32:10,"""{}"""
2,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671131040,,BUY,20000000000.0,0.00204428,0.0,0.0,0,1,599428,,ONCHAIN,HELIUS_RPC,2,2026-08-20 04:32:10,"""{}"""
3,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:AqYCkrLuuVqRjehq58KjZkPgBnxnDmreZo3Dh6w2xmM4,,AqYCkrLuuVqRjehq58KjZkPgBnxnDmreZo3Dh6w2xmM4,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01674184,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,3,2026-08-20 04:32:11,"""{}"""
4,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:7pV7YhgUtKc19vxo9trQG4q1Ab8tx6dxb9o6Hcoq2F96,,7pV7YhgUtKc19vxo9trQG4q1Ab8tx6dxb9o6Hcoq2F96,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,4,2026-08-20 04:32:11,"""{}"""
5,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:HGPRkKMUDzytY8MhAzBgxbitXoxsgqGZKUZnk9GSPyjc,,HGPRkKMUDzytY8MhAzBgxbitXoxsgqGZKUZnk9GSPyjc,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,5,2026-08-20 04:32:11,"""{}"""
6,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9QWp9N4QVLEHXigz4yggECGiRN6YBL25oB1HreCuxfAD,,9QWp9N4QVLEHXigz4yggECGiRN6YBL25oB1HreCuxfAD,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,6,2026-08-20 04:32:11,"""{}"""
7,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9iU8dj5fpSzZWF9V9uaQ9C3YNCVAAiui7DbE6rd6wYD3,,9iU8dj5fpSzZWF9V9uaQ9C3YNCVAAiui7DbE6rd6wYD3,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,7,2026-08-20 04:32:11,"""{}"""
8,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:51Ctg64eDz1Jowhbp9qnkQzujLgfZVi9FFJXAvvq9Vyb,,51Ctg64eDz1Jowhbp9qnkQzujLgfZVi9FFJXAvvq9Vyb,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,8,2026-08-20 04:32:11,"""{}"""
9,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:5SPcyA4X1NyVFshcPPwfAFrM7CwKbw9PJNCmLva5sWUi,,5SPcyA4X1NyVFshcPPwfAFrM7CwKbw9PJNCmLva5sWUi,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,9,2026-08-20 04:32:12,"""{}"""
10,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9WRGAz6rZhbVq6X6sAjrip3i79nPihGcKiorChJ3Qq8E,,9WRGAz6rZhbVq6X6sAjrip3i79nPihGcKiorChJ3Qq8E,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,10,2026-08-20 04:32:12,"""{}"""
