wallet_address,3LH7pDMG6maRkpHfQdN6hV36D6geFckDp7vTNDYTpump,5E8ifewWjdGPDCRdmvbua3YvV1QzjiZs63qJYwuFpump,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,8sxdRtLdtaYdHis1VSkCJoZUNVZXiaEKEUomzPRTpump,A4GoNqSZTvX4sSnRE1wFjEkemWm8jmbHhLgyCBAkpump,BPuNpj7eqg8R2z8jGxJqWZqxqoVritGsFpHTsNLHpump,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
11X6tto4BXVtvPyM9Y3ZnaQJKhaGCsecPiCuVLbN7Ke,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12LzAFhcF8TjMBe69fuQY91fmNESDYaFRgZFjYvzxZjQ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12NYiVA49S8eXmoe5YUDHTvYWtauhdv7d4JeCWxMt5dQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12g5AUu5yzYak59VeFq2NNXfLDDtvF457T9VHj8uGyrD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12jidD24K3WV7zQ37E3fLrkWoRmuiNhYu42HFDV8vy3U,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12pL2s9HHFpCgHsXCTDREAY3DrWTweA41VqVJU8agzAq,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13hr4vNikvFWfmAyihX65Ltsr3GJa5hiPVMcBbwo9UGe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13mAangbi5N4H9i87kK5Qn321YvXSxrsdGAXu4kJfpCY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13sCYppG44Ub7PTLF4qkUYzvjJBzv7BCY4Q2WeUYUtq8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13yPVuANUBMwujqFf3du15zCHb8E6q3Ebw4FmpD3MhnL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141TfbhU9E9pEAxpgBrUX8ZNfz2M1YqLgSwbhYKJcFKe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14QRNLpGPCpuw2RMB3VaBo4cQ52NXxjtofpRCTFJFMAe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14TPJHK5LjJGYBtxk59oRn2uVkgFhrHb4nN4iLJVPAPf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14a9HqGDTM8e8k3ZJLhrMpdihrv6wszbBgLP58k8XTeW,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14beZzvWXEHBrECZiuDgBm1vEaUCWWxkrThqzCx4KaEa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14dap6bDrvkYehUPGi5JdnYiBKm1zcgUWxu5P6DgiLsQ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14pRGgxn7VJP9AhejhpDf4dKUU7JTSkn1anTegytXt7V,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14u6QhywxXpbJindP5ZHqTU7q2Hk7h1SAAbkNiWBDeuS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19QqVihzZXwZ3VaW74i3t9TR8Mk1rW8ParNWdJfAX5U,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1HZ3TJuQigTJnKzef1vy4CMa5rE6ctJKiJFWvBsLGBE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1HyLCZcZYqRamjDSBymcwL5MRbH9iArx1MR4G8QXyJv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1NfvrDHLL2LkoxKcfwWFbm48ugeB8XKkFPBtrkGm3BK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1Qy83cyhw7qgQWb4Bpob2ZNuZBxLv3VgWASAJjJhVHD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
