address,label,first_seen,first_seen_timestamp,score,insider_score,activity_rate,total_tokens_bought,total_winners_entered,total_control_entered,selectivity_score,precocity_avg_sec,avg_post_entry_return,exit_efficiency,funding_source,funding_tx,is_exchange_funded,is_bot_sniper,is_creator_insider,notes,updated_at
9AhKqLR67hwapvG8SA2JFXaCshXc9nALJjpKaHZrsbkw,,,1670531612,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:10
ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,,,1671131040,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:10
AqYCkrLuuVqRjehq58KjZkPgBnxnDmreZo3Dh6w2xmM4,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:11
7pV7YhgUtKc19vxo9trQG4q1Ab8tx6dxb9o6Hcoq2F96,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:11
HGPRkKMUDzytY8MhAzBgxbitXoxsgqGZKUZnk9GSPyjc,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:11
9QWp9N4QVLEHXigz4yggECGiRN6YBL25oB1HreCuxfAD,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:11
9iU8dj5fpSzZWF9V9uaQ9C3YNCVAAiui7DbE6rd6wYD3,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:11
51Ctg64eDz1Jowhbp9qnkQzujLgfZVi9FFJXAvvq9Vyb,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:11
5SPcyA4X1NyVFshcPPwfAFrM7CwKbw9PJNCmLva5sWUi,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:12
9WRGAz6rZhbVq6X6sAjrip3i79nPihGcKiorChJ3Qq8E,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:12
T6HQKWhLdKa4GXrLGKtrrsdx6jaqGNWG3MhkRHsomWP,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:12
2e4oomdxZ8Sc1RExddtWtE1hKcyGjLGdiv6rirGLcDcM,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:12
C2jmyW6yqH7oYQjUbSytKcLDUNeXQ7dXzQiWUYx1kKfd,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:12
4HpSW5bcT9fT9jPtk9KgFfJLZZZ3jyAZ2x1jBS9R9HAX,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:13
3k1vPmepfusppKwaGMR96NmXepP9AmSnHLSEzHPLeeGa,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:13
VkwYd5xkEpsfaBNbnDde7uagnALk868LHRAHy5d8Dgx,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:13
8w7eprCZX7zPAJTgnxUA8yf95HrAgrAAg3DUuc4HVSsi,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:13
8RXBypLsDaU2hoGvawg7dDr9U5WXKoUZFpEoNifVJsLw,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:13
9nBfG3bWMpwc8hq4MCJQmHkr97KU78U5zn1eYrueXCt7,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:14
6NW3sAEpnZFc3QpPmKSe4hjA1ww2bTAVq6PQnZufXCJX,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:14
6K7jLkhBRYMzAqYKqBrS3AUDQP6MCGBmQw8qgSpasEuh,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:14
BZCR97PLZbFWrzgZVFvFE9NWcop3TSpCKatZPSNmsxHo,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:14
5trZ3Eaptn6uSFkXQcuRsG1uf2mL8s1EosHKcZh65qhM,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:14
Gyb81MHV9EZxnWCoNQJS285qEU9ewM9bnaLFW4PqVBGg,,,1671152760,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:15
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,,,1671570646,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.3,,,0,0,0,Helius verified first buyer,2026-08-20 04:49:07
2F6a9Ac4rchVf7t34Liw68u6YPBfWKhR3R7d7ybEkVkR,,,1671677721,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:15
7mkDkvGrDMEsbKarEiZE7CzhG4gpzXcRvs4AxMDvF8Lm,,,1671858042,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:15
3pMvTLUA9NzZQd4gi725p89mvND1wRNQM3C8XEv1hTdA,,,1671862192,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:15
GHxTAgTNHZeuTsA4oJj5LU8QMyCtst47wYooG2KJAEA1,,,1671883264,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:16
ELrCHTBcMaLhFr5N72UzKgYftPRkztRnFUcUByxemjkx,,,1671883306,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:16
2y2qb8g7x8iNY8WB3avEqiRBZZeekftNMEHHcsBqp8zg,,,1671883354,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:16
BG7A2dQ3zaCnvZuY2RHhY25k7QyJ6Lq3ZDMtXhn4irRV,,,1671883394,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:16
DEQprqXR9TSTbsqE1s1ksUhT1UBzPF88qwmQfnLVazoU,,,1671883400,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:16
Dj9j3ff6Jx5khVuxHp7yQMAsHZXQyz1rsHmPAAZZbYyK,,,1671883639,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:17
9nQz1bRNkTLYFqm6o3RGrnQJsthrNfTETYyhx74NuFGn,,,1671883992,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:17
6z4RLArdUQuzUoXiDP2LmUjGeNVV9FKLZVhN7Ma2FtMm,,,1671884130,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:17
4MZCmJ3XzEhuMh1VP68LmYdtBsgcF2qsdR76CH6EpCnn,,,1671884408,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:17
ToNY7KKnVDYiVpMCCCwiyo19iHBEUha7BZ1zkAmud7a,,,1671884614,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:18
Hr61YhAQM4fG4x1vfAa3oUWaS2LttcA3K5QZmHqPDYvQ,,,1671884750,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:18
CUyHJh9gUzTgaXEvNvXXoE21WSJPky15pAdGFWNZWDDs,,,1671885023,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:18
7Qq5UaDW3MQUK9pDwiu38eQEhZmmW2fZbsZHG27trkN5,,,1671885218,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:18
6UhkhsQKDHZFeE61zqcrzHaczRkndoeZJCf1dREei49A,,,1671885324,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:18
9xaQ3jPuaRC5KaNkov7Lw6Bq1gKjRp4wD67v6pK1MdK1,,,1671885440,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:19
C6s13kNZcf7Xrzet5e8BLHyQZvwaEuwAzzBENsp1mDiP,,,1671885460,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:19
9SFygifgPTwYZUspJz8HK8EZrxP4VXm6V827HDmPqZUd,,,1671885481,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:20
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,,,1671885526,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:20
AUT3mjFn2hSQuNhG41kGN8vhqfBaA7zWDYfdng5cpkM5,,,1671885535,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:20
AowhKcB1THvDnrAn1wz62eARRrBn4FH9DnjhQwKQhYU5,,,1671885543,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:20
CHucsL3fso5hc7Kbc5VDyvwpqtrNCA96M12L1kqYrpTt,,,1671885559,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:58
9j53Z6bejUaAxJCEC64BbxozLPuvsuAFsr6iqWKKDvaw,,,1671885601,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:21
GPfS1bNEk3UePT381hkz7BVrbMFsKFMWe1EQYgWozJRt,,,1671885620,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:21
3c44wf72kKUfvw83JLaGnt4DRYq3gS7sJ8cgJLgZEQrr,,,1671885623,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:21
VSjpb4n4tnbEnRrE7ZpjXnEkY92npB6SBcYM1srMRFv,,,1671885630,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:21
DpWn9KWaEy843dnd7J6thGmVADAjQZogtG4tyk7uoBvR,,,1671885660,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:22
A6X1KdDW3LbmKQQgsLZSqpWP8DiAopyV19mRvnw1qZAK,,,1671885706,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:22
Dzma9FM16mhvHXyhc5XNuKGq7UdgoNN3KHVcRVUDFW7D,,,1671885732,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:22
2jVEfeBRFs5dQnyx6hfMoe5uiWXnLb1crSUFo7mhaUbz,,,1671885752,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:22
8ELKSw4cG3HU3ewtQeTuChe3oofMsqAiPKUrYdEG2A2s,,,1671885778,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:22
Fjswd2XtU3vV11Ncr3PAFAB7ocfDKJgcbn3tATynMcw9,,,1671885799,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:32
3FHRbUn4TvtLFc8K9FCsLX3oftnzF7oZKmPwKKAMtTpM,,,1671885823,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:23
AthuGMLKuf3efPZxKwiPReUqZbqJykTM7NvjhBgN5QCp,,,1671885865,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:23
HgezRRAHiX1TiETuSF6skaXKwXj484Jgw8kRKR35Mfqp,,,1671885871,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,,,0,0,0,Helius verified first buyer,2026-08-20 04:32:23
